,voter,created,ipfs,vp,choice
250,0x90EB6f23617DCdD76C8BA65DE7293Dc847Ffc534,1633976342,QmZi5vhqs3UBkq6GnkSsYBeiyQxoefYyFvK742sJhfR3nf,6139.960438556277,1.0
251,0x08607F1B81a5ed9e3eF1f9e9EF87F969CDAa0973,1633976016,QmWuPjrdm1ebtbNMnPY2oMo15bSBkik9XujtxoSkB6cHKL,2879.2344182882084,1.0
252,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633975663,QmZH9ZD3NwZae1x8XN7crHGnSF5dC5AM9PvxYUcY9TqBGq,5997.87,1.0
253,0x90EB6f23617DCdD76C8BA65DE7293Dc847Ffc534,1633975616,QmUfwLTvi1R933sizZyrjhcXPXRFLxgVcWPYm1AM4wzSRF,6139.960438556277,1.0
254,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633975474,QmWNnRTPsK86WJMUNHKki6htMjDJUU4HbQqChcwomrtZMi,5997.87,2.0
255,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633975222,QmWnovo6bVa4hWrR5J7cdZUtM2CcTFwoPXvdPBdWTQff7b,5997.87,1.0
256,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633975063,QmSvqTArhpYYnYuarDFdmdVJjBJ4BV3unnMibV9XxByPoV,5997.87,1.0
257,0x90EB6f23617DCdD76C8BA65DE7293Dc847Ffc534,1633975056,QmUmPtvCudjBBZtRVbqMQuX8B6cMaTNjkYBbwmBKGWkTBA,6139.960438556277,1.0
258,0x2F94d8479DE67B01514856Df271E52Ed1f6446E6,1633974957,QmS28r8UFPSAc92BzWf4t22tLbDzzTRVoqnJ7jKbv8HksB,1331.0,1.0
259,0x2F94d8479DE67B01514856Df271E52Ed1f6446E6,1633974935,Qmc1q4UAwoBBWwPR9bzQSA3rTe922ybq4MpmH4mCMxtxDX,1331.0,1.0
260,0x2F94d8479DE67B01514856Df271E52Ed1f6446E6,1633974915,QmYnUJVAyqQnCFt9BARgShYNewN4iGh2ckLEovq9bur4ya,1331.0,1.0
261,0x2F94d8479DE67B01514856Df271E52Ed1f6446E6,1633974879,QmXSqhQZFaEvAkepSPAYR4XzFbXbsTdwBYsJgDux5iULBL,1331.0,1.0
262,0x2F94d8479DE67B01514856Df271E52Ed1f6446E6,1633974862,QmVxFJV5ZyDRFZy11xFp67Aunh4S55cmk4oCmWoWFEqzqe,1331.0,1.0
